sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
90,7,Stimuli\scenes\mainScenes\pexels-mark-mccammon-2724749.jpg,1,890,/?,R,1,1280,570,1385.6,675.6,3,15,1,1
90,7,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17158669.jpg,2,678,z,L,1,304,746,409.6,851.6,2,3,0,1
90,7,Stimuli\scenes\mainScenes\pexels-level-media-3016430.jpg,3,924,/?,R,1,1628,892,1733.6,997.6,2,20,0,1
90,7,Stimuli\scenes\mainScenes\pexels-sharath-g-4722305.jpg,4,1407,z,L,1,1446,848,1551.6,953.6,3,14,0,0
90,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7005450.jpg,5,990,/?,R,1,1520,524,1625.6,629.6,3,15,1,0
90,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6956843.jpg,6,879,z,L,1,1592,458,1697.6,563.6,1,3,1,1
90,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-4469153.jpg,7,892,/?,R,1,232,680,337.6,785.6,3,14,0,0
90,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6980568.jpg,8,779,z,L,1,1012,942,1117.6,1047.6,2,20,0,0
90,7,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8561916.jpg,9,1841,/?,R,1,254,206,359.6,311.6,1,15,0,1
90,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062154.jpg,10,656,z,L,1,846,916,951.6,1021.6,2,3,0,1
90,7,Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-1599791.jpg,11,797,/?,L,0,1128,738,1233.6,843.6,3,14,0,1
90,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7031868.jpg,12,677,z,L,1,730,848,835.6,953.6,2,20,0,0
90,7,Stimuli\scenes\mainScenes\pexels-mark-mccammon-1080721.jpg,13,1313,/?,R,1,408,214,513.6,319.6,1,3,1,1
90,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-3958964.jpg,14,1484,z,L,1,68,324,173.6,429.6,1,15,0,0
90,7,Stimuli\scenes\mainScenes\041_L_filler_absent_fruit.jpg,15,770,z,L,1,678,898,783.6,1003.6,2,20,0,0
90,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-8186477.jpg,16,922,z,L,1,1062,608,1167.6,713.6,3,14,0,0
90,7,Stimuli\scenes\mainScenes\AdobeStock_216902237.jpeg,17,1277,/?,R,1,338,476,443.6,581.6,3,3,1,0
90,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-4713242.jpg,18,1459,/?,R,1,266,606,371.6,711.6,2,20,0,1
90,7,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17181942.jpg,19,1209,z,L,1,246,670,351.6,775.6,3,14,0,1
90,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027852.jpg,20,889,z,L,1,1180,380,1285.6,485.6,1,15,0,1
90,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-15409439.jpg,21,740,z,L,1,164,670,269.6,775.6,2,3,0,1
90,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900798.jpg,22,1039,z,L,1,766,490,871.6,595.6,3,14,0,1
90,7,Stimuli\scenes\mainScenes\pexels-terry-magallanes-3623785.jpg,23,1198,/?,R,1,1070,902,1175.6,1007.6,2,20,0,0
90,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-7028072.jpg,24,1461,z,R,0,1188,146,1293.6,251.6,1,15,0,0
90,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900806.jpg,25,859,/?,L,0,1744,854,1849.6,959.6,2,15,1,0
90,7,Stimuli\scenes\mainScenes\pexels-jesse-bannister-7033835.jpg,26,1378,z,L,1,1618,522,1723.6,627.6,3,14,0,1
90,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7018399.jpg,27,770,z,L,1,1292,936,1397.6,1041.6,2,3,0,0
90,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061668.jpg,28,835,z,L,1,1488,510,1593.6,615.6,3,20,1,1
90,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-3773573.jpg,29,778,/?,R,1,280,684,385.6,789.6,3,14,0,1
90,7,Stimuli\scenes\mainScenes\AdobeStock_214273596.jpeg,30,1842,/?,R,1,1662,802,1767.6,907.6,3,15,1,0
